Grupo,Time,N_Simulacoes,P_1lugar_%,P_2lugar_%,P_3lugar_%,P_4lugar_%,P_Classifica_%,Pts_Medio,Pts_Mediana,Pts_DP,Pts_Min,Pts_Max,Gols_Pro_Medio,Gols_Contra_Medio,Saldo_Medio
E,Alemanha,500000,32.81,27.41,22.58,17.21,75.27,4.64,4.0,2.27,0,9,4.43,3.66,0.77
E,Costa do Marfim,500000,27.98,26.83,24.83,20.36,71.36,4.39,4.0,2.26,0,9,4.25,3.85,0.4
E,Equador,500000,25.96,26.4,25.46,22.17,69.34,4.24,4.0,2.26,0,9,4.14,3.96,0.18
E,Curaçao,500000,13.25,19.36,27.13,40.26,50.7,3.2,3.0,2.16,0,9,3.37,4.73,-1.36
F,Japão,500000,30.5,26.71,23.21,19.57,72.69,4.5,4.0,2.28,0,9,4.33,3.78,0.55
F,Holanda,500000,29.55,26.41,23.52,20.52,71.64,4.4,4.0,2.28,0,9,4.26,3.84,0.42
F,Suécia,500000,20.34,23.61,26.55,29.5,61.65,3.8,4.0,2.24,0,9,3.82,4.28,-0.46
F,Tunísia,500000,19.61,23.27,26.72,30.4,60.69,3.76,4.0,2.24,0,9,3.79,4.3,-0.51
G,Irã,500000,31.33,27.58,23.57,17.52,74.62,4.6,4.0,2.27,0,9,4.4,3.7,0.7
G,Bélgica,500000,31.04,27.56,23.61,17.8,74.33,4.56,4.0,2.27,0,9,4.38,3.73,0.65
G,Egito,500000,26.24,26.87,25.81,21.07,70.32,4.3,4.0,2.26,0,9,4.19,3.92,0.28
G,Nova Zelândia,500000,11.39,17.99,27.01,43.6,47.39,3.02,3.0,2.13,0,9,3.24,4.86,-1.63
H,Espanha,500000,37.92,27.42,20.31,14.36,78.87,4.93,5.0,2.27,0,9,4.65,3.46,1.19
H,Uruguai,500000,27.83,27.42,24.44,20.31,71.55,4.38,4.0,2.27,0,9,4.24,3.86,0.38
H,Cabo Verde,500000,17.85,22.89,27.5,31.77,59.07,3.64,4.0,2.22,0,9,3.7,4.4,-0.69
H,Arábia Saudita,500000,16.4,22.27,27.76,33.57,57.18,3.52,3.0,2.2,0,9,3.61,4.49,-0.88
I,França,500000,30.85,26.67,23.07,19.41,72.89,4.49,4.0,2.28,0,9,4.33,3.78,0.55
I,Senegal,500000,28.78,26.47,24.1,20.66,71.31,4.39,4.0,2.27,0,9,4.25,3.85,0.4
I,Noruega,500000,23.33,25.1,25.88,25.7,65.68,4.04,4.0,2.26,0,9,4.0,4.1,-0.11
I,Iraque,500000,17.05,21.77,26.95,34.23,56.79,3.54,3.0,2.21,0,9,3.63,4.47,-0.84
J,Argentina,500000,35.43,27.29,21.48,15.81,77.03,4.79,5.0,2.27,0,9,4.54,3.56,0.98
J,Argélia,500000,25.45,26.3,25.55,22.7,68.79,4.22,4.0,2.26,0,9,4.12,3.97,0.15
J,Áustria,500000,24.7,26.08,25.74,23.48,67.94,4.15,4.0,2.26,0,9,4.07,4.03,0.05
J,Jordânia,500000,14.42,20.33,27.24,38.01,52.91,3.31,3.0,2.18,0,9,3.46,4.64,-1.18
K,Portugal,500000,32.19,26.91,22.5,18.4,74.1,4.58,4.0,2.28,0,9,4.38,3.71,0.67
K,Colômbia,500000,27.22,26.17,24.43,22.18,69.67,4.29,4.0,2.27,0,9,4.17,3.93,0.25
K,Uzbequistão,500000,21.06,23.86,26.32,28.76,62.47,3.87,4.0,2.25,0,9,3.87,4.23,-0.35
K,RD Congo,500000,19.53,23.06,26.76,30.66,60.42,3.73,4.0,2.24,0,9,3.77,4.33,-0.56
L,Inglaterra,500000,34.66,27.75,21.97,15.62,77.05,4.77,5.0,2.26,0,9,4.53,3.57,0.95
L,Croácia,500000,30.3,27.76,23.82,18.12,73.94,4.55,4.0,2.26,0,9,4.36,3.74,0.63
L,Panamá,500000,22.77,25.59,26.94,24.7,66.32,4.05,4.0,2.25,0,9,4.0,4.1,-0.1
L,Gana,500000,12.27,18.9,27.28,41.55,49.36,3.11,3.0,2.14,0,9,3.31,4.79,-1.48
