Team,Year,Matches,Wins,Draws,Losses,Points_Per_Match
Haiti,2021,12,7,0,5,1.75
Netherlands,2025,10,6,3,1,2.1
Netherlands,2024,16,8,4,4,1.75
Netherlands,2023,10,6,0,4,1.8
Netherlands,2022,13,9,3,1,2.31
Netherlands,2021,16,11,3,2,2.25
England,2025,10,9,0,1,2.7
England,2024,17,10,3,4,1.94
England,2023,10,8,2,0,2.6
England,2022,13,5,4,4,1.46
England,2021,19,15,3,1,2.53
IR Iran,2025,12,6,2,4,1.67
IR Iran,2024,16,13,2,1,2.56
IR Iran,2023,11,9,2,0,2.64
IR Iran,2022,12,6,1,5,1.58
IR Iran,2021,11,10,1,0,2.82
Iraq,2025,14,7,3,4,1.71
Iraq,2024,18,11,2,5,1.94
Iraq,2023,13,9,1,3,2.15
Iraq,2022,10,4,3,3,1.5
Iraq,2021,17,5,8,4,1.35
Republic of Ireland,2025,10,5,3,2,1.8
Republic of Ireland,2024,10,3,1,6,1.0
Republic of Ireland,2023,10,3,1,6,1.0
Republic of Ireland,2022,10,4,2,4,1.4
Republic of Ireland,2021,12,4,5,3,1.42
Northern Ireland,2025,10,4,1,5,1.3
Northern Ireland,2024,10,5,3,2,1.8
Northern Ireland,2023,10,3,0,7,0.9
Northern Ireland,2022,8,2,2,4,1.0
Northern Ireland,2021,12,4,3,5,1.25
Italy,2025,10,6,1,3,1.9
Italy,2024,14,8,3,3,1.93
Italy,2023,10,5,2,3,1.7
Italy,2022,11,5,2,4,1.55
Italy,2021,19,14,4,1,2.42
Jamaica,2026,1,1,0,0,3.0
Jamaica,2025,17,9,4,4,1.82
Jamaica,2024,14,5,3,6,1.29
Jamaica,2023,17,7,5,5,1.53
Jamaica,2022,14,2,5,7,0.79
Jamaica,2021,14,3,5,6,1.0
Japan,2025,13,8,3,2,2.08
Japan,2024,16,13,1,2,2.5
Japan,2023,10,8,1,1,2.5
Japan,2022,18,10,3,5,1.83
Japan,2021,12,10,0,2,2.5
Jordan,2025,16,8,3,5,1.69
Jordan,2024,18,11,4,3,2.06
Jordan,2023,9,2,1,6,0.78
Jordan,2022,8,6,0,2,2.25
Jordan,2021,19,9,2,8,1.53
Kosovo,2025,10,7,2,1,2.3
Kosovo,2024,9,5,0,4,1.67
Kosovo,2023,10,2,5,3,1.1
Kosovo,2022,10,4,3,3,1.5
Kosovo,2021,14,5,2,7,1.21
Morocco,2026,4,3,0,1,2.25
Morocco,2025,26,23,2,1,2.73
Morocco,2024,15,12,2,1,2.53
Morocco,2023,8,4,3,1,1.88
Morocco,2022,20,12,4,4,2.0
Morocco,2021,20,17,2,1,2.65
North Macedonia,2025,10,3,5,2,1.4
North Macedonia,2024,10,5,2,3,1.7
North Macedonia,2023,10,4,2,4,1.4
North Macedonia,2022,11,3,2,6,1.0
North Macedonia,2021,15,6,4,5,1.47
Mexico,2026,3,3,0,0,3.0
Mexico,2025,16,8,5,3,1.81
Mexico,2024,13,6,2,5,1.54
Mexico,2023,20,10,6,4,1.8
Mexico,2022,20,9,5,6,1.6
Mexico,2021,24,13,5,6,1.83
Norway,2025,10,9,1,0,2.8
Norway,2024,10,5,2,3,1.7
Norway,2023,10,5,2,3,1.7
Norway,2022,10,6,2,2,2.0
Norway,2021,12,6,3,3,1.75
New Caledonia,2025,3,2,0,1,2.0
New Caledonia,2024,3,2,1,0,2.33
New Caledonia,2023,9,7,0,2,2.33
New Caledonia,2022,5,0,0,5,0.0
New Zealand,2025,10,3,1,6,1.0
New Zealand,2024,12,8,1,3,2.08
New Zealand,2023,8,2,3,3,1.13
New Zealand,2022,11,5,1,5,1.45
New Zealand,2021,3,3,0,0,3.0
Wales,2025,10,5,1,4,1.6
Wales,2024,10,4,4,2,1.6
Wales,2023,10,4,4,2,1.6
Wales,2022,12,2,3,7,0.75
Wales,2021,16,6,6,4,1.5
Panama,2026,2,0,1,1,0.5
Panama,2025,15,9,3,3,2.0
Panama,2024,13,5,1,7,1.23
Panama,2023,19,12,3,4,2.05
Panama,2022,16,5,6,5,1.31
Panama,2021,19,10,5,4,1.84
Paraguay,2025,10,4,3,3,1.5
Paraguay,2024,12,4,4,4,1.33
Paraguay,2023,8,2,2,4,1.0
Paraguay,2022,11,3,2,6,1.0
Paraguay,2021,15,3,4,8,0.87
Poland,2025,10,7,2,1,2.3
Poland,2024,13,5,2,6,1.31
Poland,2023,10,5,2,3,1.7
Poland,2022,13,5,3,5,1.38
Poland,2021,15,6,5,4,1.53
Portugal,2025,10,7,1,2,2.2
Portugal,2024,16,10,2,4,2.0
Portugal,2023,10,10,0,0,3.0
Portugal,2022,14,9,1,4,2.0
Portugal,2021,16,9,4,3,1.94
Congo DR,2026,1,0,0,1,0.0
Congo DR,2025,18,14,1,3,2.39
Congo DR,2024,17,7,5,5,1.53
Congo DR,2023,13,5,5,3,1.54
Congo DR,2022,8,1,1,6,0.5
Congo DR,2021,14,6,4,4,1.57
Czechia,2025,10,6,2,2,2.0
Czechia,2024,13,7,3,3,1.85
Czechia,2023,10,5,4,1,1.9
Czechia,2022,10,2,2,6,0.8
Czechia,2021,17,8,4,5,1.65
Romania,2025,10,5,1,4,1.6
Romania,2024,14,7,4,3,1.79
Romania,2023,10,6,4,0,2.2
Romania,2022,10,3,2,5,1.1
Romania,2021,12,5,2,5,1.42
Senegal,2026,4,4,0,0,3.0
Senegal,2025,19,12,5,2,2.16
Senegal,2024,14,11,2,1,2.5
Senegal,2023,15,10,3,2,2.2
Senegal,2022,17,11,3,3,2.12
Senegal,2021,10,7,3,0,2.4
Sweden,2025,10,3,2,5,1.1
Sweden,2024,10,6,1,3,1.9
Sweden,2023,12,7,1,4,1.83
Sweden,2022,10,4,1,5,1.3
Sweden,2021,16,11,1,4,2.13
Switzerland,2025,10,7,3,0,2.4
Switzerland,2024,15,4,6,5,1.2
Switzerland,2023,10,4,5,1,1.7
Switzerland,2022,13,5,1,7,1.23
Switzerland,2021,17,11,4,2,2.18
Suriname,2025,13,5,5,3,1.54
Suriname,2024,9,4,2,3,1.56
Suriname,2023,6,1,2,3,0.83
Suriname,2022,11,4,1,6,1.18
Suriname,2021,7,4,0,3,1.71
Tunisia,2026,1,0,0,1,0.0
Tunisia,2025,18,11,4,3,2.06
Tunisia,2024,15,6,5,4,1.53
Tunisia,2023,10,6,1,3,1.9
Tunisia,2022,17,9,3,5,1.76
Tunisia,2021,17,12,1,4,2.18
Türkiye,2025,10,7,1,2,2.2
Türkiye,2024,15,6,3,6,1.4
Türkiye,2023,10,6,2,2,2.0
Türkiye,2022,10,6,1,3,1.9
Türkiye,2021,16,8,4,4,1.75
Ukraine,2025,10,5,1,4,1.6
Ukraine,2024,14,6,4,4,1.57
Ukraine,2023,9,4,3,2,1.67
Ukraine,2022,8,4,2,2,1.75
Ukraine,2021,18,6,9,3,1.5
Uruguay,2025,10,4,3,3,1.5
Uruguay,2024,16,7,6,3,1.69
Uruguay,2023,10,7,2,1,2.3
Uruguay,2022,12,8,2,2,2.17
Uruguay,2021,15,4,5,6,1.13
Uzbekistan,2025,12,8,3,1,2.25
Uzbekistan,2024,15,9,4,2,2.07
Uzbekistan,2023,13,8,3,2,2.08
Uzbekistan,2022,10,8,1,1,2.5
Uzbekistan,2021,9,4,0,5,1.33
