Team,Opponent,Matches,Wins,Draws,Losses
Australia,Curaçao,1,1,0,0
Australia,USSR B,1,1,0,0
Australia,Singapur B,1,1,0,0
Australia,Spain,1,0,0,1
Australia,Italy,1,0,0,1
Australia,Turkiye,2,0,0,2
Australia,Belgium,1,0,0,1
Australia,Switzerland,1,0,1,0
Australia,Bulgaria,4,0,2,2
Australia,Romania,1,0,0,1
Australia,Slovakia,1,0,1,0
Australia,Venezuela,2,0,1,1
Australia,Slovenia,1,0,0,1
Australia,Egypt,1,0,0,1
Australia,Chile,6,0,2,4
Australia,Colombia,2,0,1,1
Australia,N. Ireland,3,0,1,2
Australia,North Korea,3,0,1,2
Australia,Cambodia,1,0,1,0
Australia,East Germany,1,0,0,1
Australia,ČSR,8,0,2,6
Australia,USSR,6,0,3,3
Australia,Greece B,1,0,1,0
Austria,Hungary,137,40,30,67
Austria,Switzerland,43,25,6,12
Austria,Sweden,39,20,6,13
Austria,Italy,38,13,8,17
Austria,Germany,41,10,6,25
Austria,France,26,9,3,14
Austria,Turkiye,18,9,1,8
Austria,Belgium,16,9,4,3
Austria,Norway,14,9,2,3
Austria,Ireland,16,9,4,3
Austria,Scotland,23,8,8,7
Austria,Finland,11,8,2,1
Austria,Malta,9,8,1,0
Austria,Cyprus,9,8,0,1
Austria,Liechtenstein,8,8,0,0
Austria,ČSR,36,8,11,17
Austria,Netherlands,21,7,4,10
Austria,Albania,7,7,0,0
Austria,Luxembourg,7,7,0,0
Austria,Moldova,9,7,1,1
Austria,Latvia,9,6,0,3
Austria,Israel,13,6,4,3
Austria,N. Ireland,13,6,3,4
Austria,Faroe Islands,8,6,1,1
Austria,Yugoslavia,18,6,4,8
Austria,Bulgaria,8,5,2,1
Austria,Wales,11,5,2,4
Austria,Azerbaijan,6,5,1,0
Austria,England,19,4,4,11
Austria,Spain,16,4,3,9
Austria,Greece,13,4,5,4
Austria,Denmark,13,4,1,8
Austria,Poland,11,4,2,5
Austria,Romania,12,4,5,3
Austria,Belarus,4,4,0,0
Austria,Estonia,4,4,0,0
Austria,Kazakhstan,6,4,2,0
Austria,San Marino,4,4,0,0
Austria,USSR,14,4,3,7
Austria,Portugal,11,3,6,2
Austria,Russia,5,3,1,1
Austria,Slovenia,6,3,2,1
Austria,North Macedonia,3,3,0,0
Austria,Serbia,7,2,1,4
Austria,Czechia,5,2,1,2
Austria,Bosnia,7,2,4,1
Austria,Uruguay,4,2,1,1
Austria,Slovakia,6,2,3,1
Austria,USA,3,2,0,1
Austria,Tunisia,3,2,1,0
Austria,Ukraine,3,2,0,1
Austria,Lithuania,3,2,0,1
Austria,Montenegro,2,2,0,0
Austria,Japan,1,1,0,0
Austria,Ghana,2,1,1,0
Austria,Croatia,7,1,0,6
Austria,Iceland,4,1,2,1
Austria,Iran,1,1,0,0
Austria,South Korea,1,1,0,0
Austria,Ivory Coast,2,1,0,1
Austria,Algeria,1,1,0,0
Austria,Georgia,2,1,1,0
Austria,Egypt,3,1,1,1
Austria,Chile,3,1,1,1
Austria,Trinidad,1,1,0,0
Austria,Costa Rica,2,1,1,0
Austria,Andorra,1,1,0,0
Austria,East Germany,6,1,4,1
Austria,Italy B,1,1,0,0
Austria,Cameroon,3,0,2,1
Austria,Argentina,2,0,1,1
Austria,Brazil,10,0,3,7
Austria,Nigeria,1,0,1,0
Austria,Venezuela,1,0,0,1
Austria,Canada,1,0,0,1
Austria,Paraguay,1,0,1,0
Belgium,Netherlands,129,41,31,57
Belgium,France,78,30,19,29
Belgium,Luxembourg,20,16,3,1
Belgium,Switzerland,30,15,6,9
Belgium,Scotland,20,13,3,4
Belgium,Iceland,13,13,0,0
Belgium,Cyprus,13,12,1,0
Belgium,Hungary,13,9,2,2
Belgium,Sweden,17,9,3,5
Belgium,Wales,19,9,5,5
Belgium,Estonia,10,9,0,1
Belgium,Poland,21,8,6,7
Belgium,San Marino,8,8,0,0
Belgium,Denmark,16,7,3,6
Belgium,Israel,9,7,0,2
Belgium,Portugal,19,6,7,6
Belgium,Spain,23,6,5,12
Belgium,Bulgaria,14,6,2,6
Belgium,Norway,9,6,3,0
Belgium,Romania,13,6,2,5
Belgium,Russia,8,6,2,0
Belgium,USA,7,6,0,1
Belgium,Ireland,17,6,7,4
Belgium,Germany,26,5,1,20
Belgium,England,26,5,5,16
Belgium,Armenia,6,5,0,1
Belgium,Azerbaijan,6,5,1,0
Belgium,Kazakhstan,8,5,3,0
Belgium,Italy,26,4,5,17
Belgium,Serbia,5,4,0,1
Belgium,Finland,12,4,4,4
Belgium,Czechia,9,4,2,3
Belgium,Bosnia,8,4,1,3
Belgium,Croatia,10,4,3,3
Belgium,Andorra,4,4,0,0
Belgium,Yugoslavia,11,4,2,5
Belgium,Greece,10,3,4,3
Belgium,Turkiye,11,3,5,3
Belgium,Austria,16,3,4,9
Belgium,South Korea,4,3,1,0
Belgium,Tunisia,5,3,1,1
Belgium,North Macedonia,6,3,3,0
Belgium,East Germany,8,3,2,3
Belgium,ČSR,10,3,2,5
Belgium,Japan,6,2,2,2
Belgium,Brazil,5,2,0,3
Belgium,Uruguay,2,2,0,0
Belgium,Belarus,2,2,0,0
Belgium,Canada,2,2,0,0
Belgium,Latvia,2,2,0,0
Belgium,Morocco,4,2,0,2
Belgium,Algeria,3,2,1,0
Belgium,Saudi Arabia,3,2,0,1
Belgium,Liechtenstein,2,2,0,0
Belgium,Mexico,8,2,3,3
Belgium,Costa Rica,2,2,0,0
Belgium,Faroe Islands,2,2,0,0
Belgium,El Salvador,2,2,0,0
Belgium,Gibraltar,2,2,0,0
Belgium,England Ama.,10,2,1,7
Belgium,Australia,1,1,0,0
